Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26
Yobe,0,2018 DHS,NE,79.2,1.8,31,59.9,78.4,68.8,84.7,71,53.1,29,44.5,84.3,16.7,5.4,0,0,0,0,0,0,152,75.8
Zamfara,1,2018 DHS,NW,77.9,1.6,25.4,55.7,68.9,74.2,96.1,46.9,26.3,11.9,13.9,42.3,4,3.3,0,0,0,0,0,0,130,72.1
Abia,0,2015 MIS,SE,51.9,1,29.9,8.2,16,0,0,46.7,40.4,26.6,34.4,78.8,10.7,8.1,0,0,0,0,0,0,0,74.2
Adamawa,0,2015 MIS,NE,70.6,1.6,31.1,32.4,50,35.7,40.5,39.5,32.5,22.9,48.4,55.5,10.2,20.3,0,0,0,0,0,0,0,76.7
Akwa Ibom,1,2015 MIS,SS,74.2,2.2,54.8,39.8,47.2,0,0,47.9,29.5,11.6,66.6,70.5,10.9,6.3,0,0,0,0,0,0,0,77.6
Anambra,0,2015 MIS,SE,74.8,1.7,47.9,26.2,35.3,0,0,52.7,42.9,20.2,41.3,64.7,10.2,25.5,0,0,0,0,0,0,0,68.3
Bauchi,1,2015 MIS,NE,97.3,2.7,53,67.2,67.7,64.6,64.6,58,43.4,18.3,42.7,89.1,7.1,14.4,0,0,0,0,0,0,0,73.8
Bayelsa,0,2015 MIS,SS,45.4,1,22.7,18.6,39.2,10.3,0,38.8,33.8,12.5,47,56.3,6.7,5.6,0,0,0,0,0,0,0,66.6
Benue,1,2015 MIS,NC,41.7,0.8,15.6,37.2,69.2,0,0,42.5,36.8,21,15.9,81.3,9.1,31.6,0,0,0,0,0,0,0,50
Borno,0,2015 MIS,NE,64.1,1.2,11.3,57,85.9,0,0,87.6,79.3,47.9,15,0,0,0,0,0,0,0,0,0,0,73.7
Cross River,1,2015 MIS,SS,82.7,1.9,55.2,46.7,55.5,0,0,70.9,59.9,31.2,53.2,61.8,10.8,25.1,0,0,0,0,0,0,0,69.3
Delta,0,2015 MIS,SS,43.2,0.9,24.3,21.3,40.8,0,0,34,23.2,8.1,29.4,65.7,8.1,7.8,0,0,0,0,0,0,0,66.7
Ebonyi,1,2015 MIS,SE,88.9,2.7,62.7,52,57.2,49.4,56.6,60.5,45.2,42.4,41.6,73,5.1,22.7,0,0,0,0,0,0,0,77.9
Edo,0,2015 MIS,SS,38.7,0.7,18.3,19.8,34.6,0,0,77.5,77.5,35.9,25.8,0,0,0,0,0,0,0,0,0,0,60.6
Ekiti,0,2015 MIS,SW,73.4,1.5,50.2,31.1,40.1,0,0,70.2,62.6,47,21.2,0,0,0,0,0,0,0,0,0,0,81.4
Enugu,0,2015 MIS,SE,56.6,0.9,19.8,18.2,23.3,0,0,45.7,43.4,37.3,32.6,88.4,13.5,16.1,0,0,0,0,0,0,0,76.4
FCT,0,2015 MIS,NC,45.1,0.9,23.4,18.5,34.1,0,0,65.7,63.2,38,29.9,80.6,18,35.1,0,0,0,0,0,0,0,64.5
Gombe,0,2015 MIS,NE,86.9,2.4,37.7,40.2,43.5,52.4,55.6,62.5,52.8,38.5,44.5,85.4,3.8,4.3,0,0,0,0,0,0,0,69.2
Imo,0,2015 MIS,SE,45.9,0.8,20.4,7.1,12.5,0,0,52.3,47.5,11.2,37.6,87.9,18.5,29.9,0,0,0,0,0,0,0,55.9
Jigawa,0,2015 MIS,NW,95.4,2.8,55.7,76.8,78.8,85.7,89,41.8,34.6,11.9,35.2,78.1,11.1,11.1,0,0,0,0,0,0,0,67.1
Kaduna,0,2015 MIS,NW,91.6,2.6,52.9,66.6,71.2,79.3,0,46.1,23.2,18.3,38.9,58.9,16.4,5.9,0,0,0,0,0,0,0,67.8
Kano,0,2015 MIS,NW,88,2.1,40.2,58.5,62.9,54.9,56.5,46.1,25.6,5.9,55.6,86.9,5,16.9,0,0,0,0,0,0,0,75.3
Katsina,0,2015 MIS,NW,97.1,2.8,53.7,58.3,59.4,51.7,51.7,45.8,36.3,25.4,56.8,52.1,13.2,16.3,0,0,0,0,0,0,0,65.8
Kebbi,1,2015 MIS,NW,86.7,1.6,22.1,38.8,42.4,0,0,49.7,48.5,42,42.6,44.3,8.6,3.7,0,0,0,0,0,0,0,73.9
Kogi,0,2015 MIS,NC,54.7,1,20.2,32,49.5,0,0,67.7,58.5,38.3,19.4,93.4,9.8,7.5,0,0,0,0,0,0,0,69
Kwara,0,2015 MIS,NC,37.7,0.7,13.6,20.6,45.7,0,0,28.3,24.8,19.6,29.3,46,9.1,9.3,0,0,0,0,0,0,0,68.7
Lagos,0,2015 MIS,SW,44.3,0.7,11.8,12.5,28.4,0,0,79.7,75.5,11.1,14.6,67.8,10,12.2,0,0,0,0,0,0,0,67.1
Nasarawa,1,2015 MIS,NC,76.4,2,33,47.9,54.4,51.9,0,51.6,38.1,20,58.9,83.5,25.4,7.1,0,0,0,0,0,0,0,65.6
Niger,0,2015 MIS,NC,61.2,1.3,36.3,39.1,65,0,0,15.1,10.9,8.1,33,81.9,11.8,5.5,0,0,0,0,0,0,0,72.7
Ogun,0,2015 MIS,SW,39.1,0.7,19.2,18.3,38.9,0,0,72.8,57.9,24,31.3,36,28,16,0,0,0,0,0,0,0,83
Ondo,0,2015 MIS,SW,50.1,0.7,25.7,21.1,40.4,0,0,52.9,35.6,9.2,31.5,59.2,28.3,12.8,0,0,0,0,0,0,0,75.8
Osun,0,2015 MIS,SW,65.7,1.3,38.1,23,30.3,0,0,44.3,34.4,14.1,24.8,70.2,8.9,18.2,0,0,0,0,0,0,0,86.9
Oyo,1,2015 MIS,SW,51.3,1,18.6,33.5,55.4,52.5,0,79.4,63.6,42.7,25.9,83.3,58.7,22.5,0,0,0,0,0,0,0,73.1
Plateau,1,2015 MIS,NC,78.3,1.9,33.6,54.1,62.6,0,0,39.4,19,12,34.1,78.6,19.6,27.2,0,0,0,0,0,0,0,72.9
